Country,ISO,GDP.2011,pop.2010,athletes_f,athletes_m,athletes_total,gold,silver,bronze
Slovakia,SVK,"95,994,147,901.00","5,430,000",20,26,46,0,1,3
Slovenia,SVN,"49,539,271,105.00","2,049,000",40,28,68,1,1,2
Solomon Islands,SLB,"838,022,104.90","538,000",2,2,4,0,0,0
Somalia,SOM,"1,071,000,000.00","9,331,000",1,1,2,0,0,0
South Africa,ZAF,"408,237,000,000.00","49,991,000",64,69,133,3,2,1
South Korea,KOR,"1,116,250,000,000.00","48,875,000",114,141,255,13,8,7
Spain,ESP,"1,490,810,000,000.00","46,071,000",114,175,289,3,10,4
Sri Lanka,LKA,"59,172,135,299.00","20,860,000",3,4,7,0,0,0
Sudan,SDN,"55,097,394,769.00","43,552,000",2,4,6,0,0,0
Surinam,SUR,"3,790,000,000.00","525,000",2,3,5,0,0,0
Swaziland,SWZ,"3,977,754,360.00","1,056,000",1,2,3,0,0,0
Sweden,SWE,"538,131,000,000.00","9,378,000",84,56,140,1,4,3
Switzerland,CHE,"635,650,000,000.00","7,826,000",30,76,106,2,2,0
Syria,SYR,"59,834,000,000.00","20,447,000",4,6,10,0,0,0
Taiwan,TWN,"876,035,000,000.00","23,174,528",25,19,44,0,1,1
Tajikistan,TJK,"6,522,200,291.00","6,879,000",3,13,16,0,0,1
Tanzania,TZA,"23,705,302,063.00","44,841,000",2,5,7,0,0,0
Thailand,THA,"345,649,000,000.00","69,122,000",18,19,37,0,2,1
Togo,TGO,"3,594,513,925.00","6,028,000",2,4,6,0,0,0
Tonga,TON,"435,589,199.60","104,000",1,2,3,0,0,0
Trinidad and Tobago,TTO,"22,483,115,868.00","1,341,000",10,21,31,1,0,3
Tunisia,TUN,"45,863,804,800.00","10,549,000",20,64,84,1,1,1
Turkey,TUR,"773,091,000,000.00","72,752,000",66,48,114,2,2,1
Turkmenistan,TKM,"24,107,017,544.00","5,042,000",3,7,10,0,0,0
Tuvalu,TUV,"35,784,426.83","9,827",1,2,3,0,0,0
Uganda,UGA,"16,809,623,489.00","33,424,000",5,11,16,1,0,0
UK,GBR,"2,431,590,000,000.00","62,232,000",269,287,556,29,17,19
Ukraine,UKR,"165,245,000,000.00","45,871,000",115,121,236,6,5,9
United Arab Emirates,ARE,"360,245,000,000.00","7,512,000",2,28,30,0,0,0
Uruguay,URY,"46,709,797,684.00","3,357,000",3,30,33,0,0,0
US,USA,"15,094,000,000,000.00","309,349,000",271,260,531,46,29,29
Uzbekistan,UZB,"45,359,432,355.00","28,228,000",18,36,54,1,0,3
Vanuatu,VUT,"819,227,088.40","240,000",2,3,5,0,0,0
Venezuela,VEN,"316,482,000,000.00","28,834,000",27,42,69,1,0,0
Vietnam,VNM,"123,961,000,000.00","86,928,000",12,6,18,0,0,0
Virgin Islands,VIR,"1,577,000,000.00","110,000",3,4,7,0,0,0
Yemen,YEM,"33,757,503,322.00","24,053,000",1,3,4,0,0,0
Zambia,ZMB,"19,206,011,889.00","12,927,000",2,5,7,0,0,0
Zimbabwe,ZWE,"9,900,000,000.00","12,571,000",3,4,7,0,0,0
