ID,year,brand,funny,show_product_quickly,danger,celebrity,view_count,like_count,dislike_count,superbowl_ads_dot_com_url
219,2004,Bud Light,TRUE,TRUE,FALSE,TRUE,39730,37,1,https://superbowl-ads.com/2004-bud-light-cedric-gets-massage/
220,2003,Budweiser,TRUE,FALSE,FALSE,FALSE,21813,10,0,https://superbowl-ads.com/2003-budweiser-roommate/
221,2009,E-Trade,TRUE,TRUE,FALSE,FALSE,358142,763,24,https://superbowl-ads.com/2009-etrade-talking-baby/
222,2013,Pepsi,TRUE,FALSE,FALSE,FALSE,987,2,0,https://superbowl-ads.com/video-2013-pepsi-next-super-bowl-xlvii-commercial-party/
223,2004,Budweiser,TRUE,FALSE,FALSE,TRUE,88458,351,6,https://superbowl-ads.com/2004-budweiser-lipstick/
224,2009,Hynudai,FALSE,TRUE,FALSE,FALSE,7253,6,1,https://superbowl-ads.com/2009-hyundai-assurance-contract/
225,2014,Budweiser,FALSE,FALSE,FALSE,FALSE,81183,232,38,https://superbowl-ads.com/2014-budweiser-puppy-love/
226,2003,Pepsi,TRUE,TRUE,FALSE,TRUE,35779,NA,NA,https://superbowl-ads.com/2003-pepsi-twist-osbornes/
227,2015,Coca-Cola,FALSE,FALSE,FALSE,FALSE,48617,331,18,https://superbowl-ads.com/2015-coca-cola-make-it-happy/
228,2003,NFL,FALSE,FALSE,FALSE,TRUE,18670,42,1,https://superbowl-ads.com/2003-nfl-crazy-with-don-cheadle/
230,2002,Pepsi,FALSE,TRUE,FALSE,TRUE,385777,5929,73,https://superbowl-ads.com/2002-pepsi-generations-with-britney-spears/
231,2002,Bud Light,TRUE,TRUE,TRUE,TRUE,4641,19,0,https://superbowl-ads.com/2002-bud-light-cedric-advice/
233,2001,Bud Light,TRUE,FALSE,FALSE,TRUE,998,3,0,https://superbowl-ads.com/2001-bud-light-cedric-the-entertainer/
234,2013,Hynudai,FALSE,TRUE,FALSE,FALSE,1190,5,0,https://superbowl-ads.com/video-2013-hyundai-genesis-super-bowl-xlvii-commercial/
235,2015,Toyota,FALSE,TRUE,FALSE,FALSE,32091,266,6,https://superbowl-ads.com/toyota-camry-2015-super-bowl-xlix-ad-my-bold-dad/
236,2000,Budweiser,TRUE,FALSE,TRUE,FALSE,111442,163,5,https://superbowl-ads.com/2000-budweiser-rex/
237,2001,Doritos,TRUE,TRUE,FALSE,TRUE,2985,15,0,https://superbowl-ads.com/2001-doritos-ali-landry/
239,2008,Bud Light,TRUE,TRUE,FALSE,FALSE,9335,12,1,https://superbowl-ads.com/2008-bud-light-ability-to-fly/
240,2007,Doritos,TRUE,TRUE,FALSE,FALSE,292010,244,74,https://superbowl-ads.com/2007-doritos-check-out-girl/
242,2001,Pepsi,TRUE,FALSE,FALSE,TRUE,12106,10,1,https://superbowl-ads.com/2001-pepsi-bob-dole/
244,2012,Budweiser,FALSE,TRUE,FALSE,FALSE,220292,572,100,https://superbowl-ads.com/2012-budweiser-eternal-optimism/
245,2001,Pepsi,TRUE,FALSE,TRUE,TRUE,1475,14,0,https://superbowl-ads.com/2001-pepsi-kasparov-vs-pepsi-machine/
246,2001,E-Trade,TRUE,FALSE,TRUE,FALSE,6513,12,4,https://superbowl-ads.com/2001-etrade-security-guard/
247,2001,Budweiser,FALSE,FALSE,FALSE,TRUE,77142,334,4,https://superbowl-ads.com/2001-budweiser-nsync/
